               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088945,             0.03281,                   0,             0.03114,            0.037838,            0.013109,            0.002767,            0.063128,            0.024437,                   0,              0.0018,              0.0018,              0.0838
                   1,            0.070359,            0.030739,                   0,             0.16999,             0.37838,             0.11864,            0.033051,            0.048263,            0.019268,                   0,           0.0036817,           0.0036817,            0.066682
                   2,            0.060199,            0.028757,                   0,             0.26702,             0.48649,             0.25622,            0.060889,            0.038076,            0.016362,                   0,           0.0055446,           0.0055446,            0.049545
                   3,            0.050269,            0.025459,                   0,             0.36937,             0.49392,             0.32935,            0.086535,            0.042704,             0.01275,                   0,           0.0073886,           0.0073886,            0.032389
                   4,            0.046039,            0.023619,                   0,             0.49115,             0.30811,             0.31034,            0.092901,            0.029189,            0.011662,                   0,           0.0092139,           0.0092139,            0.015214
                   5,            0.046537,            0.023717,                   0,             0.42546,             0.48108,             0.36538,             0.12802,            0.030426,            0.010915,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.038453,              0.0247,                   0,             0.29676,             0.51781,               0.312,              0.1007,            0.031728,             0.01072,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036133,             0.02437,                   0,             0.33347,             0.51351,             0.29761,            0.084517,            0.026697,            0.011247,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.042646,            0.024693,                   0,             0.31383,             0.32432,               0.266,            0.075594,            0.029854,            0.012907,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036733,            0.025862,                   0,             0.21096,             0.36216,             0.18199,            0.051826,            0.028167,            0.012904,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.038469,            0.024884,                   0,             0.21166,             0.42162,             0.18059,            0.052565,            0.028181,             0.01171,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036886,            0.024894,                   0,             0.25764,             0.54591,             0.25181,            0.074991,            0.025681,            0.011712,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.033529,            0.026139,                   0,             0.21853,             0.45946,             0.19307,            0.057258,             0.02674,            0.012399,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033944,            0.025065,                   0,             0.16629,             0.23784,             0.11387,            0.028116,            0.031143,            0.013113,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.030492,            0.023673,                   0,             0.10228,             0.31892,            0.068329,             0.01656,            0.033191,            0.013455,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029982,            0.024377,                   0,             0.16362,             0.29608,             0.11825,            0.028413,            0.028388,            0.013327,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.028037,            0.023026,                   0,             0.24381,             0.53514,             0.22873,             0.06358,            0.021437,            0.011931,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.029433,            0.024789,                   0,             0.24332,                 0.6,              0.2391,            0.080229,            0.020658,            0.012039,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.030064,            0.025711,                   0,             0.27357,             0.64324,             0.27555,            0.090563,            0.023013,            0.011466,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027391,            0.024885,                   0,             0.34605,             0.63784,             0.32636,             0.10549,            0.020528,             0.01153,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.03003,              0.0248,                   0,              0.3102,             0.57297,             0.29498,            0.096949,            0.021449,             0.01158,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.029573,            0.025004,                   0,             0.35214,             0.59459,             0.31668,             0.10272,            0.019778,            0.011394,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.023545,            0.023703,                   0,             0.45403,             0.53942,             0.40053,             0.13835,            0.019159,            0.011357,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.02915,            0.023222,                   0,              0.4057,              0.5978,             0.36232,             0.13048,            0.018253,            0.011389,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.027326,             0.02284,                   0,             0.39014,             0.72432,             0.40503,             0.15756,            0.021307,            0.010696,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031817,             0.02362,                   0,             0.42728,             0.62508,             0.38984,             0.15268,            0.018562,             0.01083,                   0,            0.008812,            0.008812,            0.008812
